Object.Name,Slot.Name,units,Timestep,Value,Model
Mead,Pool Elevation,ft,2009/9/30,1093.68,Historical
Mead,Pool Elevation,ft,2009/10/31,1093.26,Historical
Mead,Pool Elevation,ft,2009/11/30,1093.52,Historical
Mead,Pool Elevation,ft,2009/12/31,1096.3,Historical
Mead,Pool Elevation,ft,2010/1/31,1100.02,Historical
Mead,Pool Elevation,ft,2010/2/28,1103.21,Historical
Mead,Pool Elevation,ft,2010/3/31,1100.66,Historical
Mead,Pool Elevation,ft,2010/4/30,1098,Historical
Mead,Pool Elevation,ft,2010/5/31,1094.3,Historical
Mead,Pool Elevation,ft,2010/6/30,1089.3,Historical
Mead,Pool Elevation,ft,2010/7/31,1086.97,Historical
Mead,Pool Elevation,ft,2010/8/31,1086.91,Historical
Mead,Pool Elevation,ft,2010/9/30,1083.81,Historical
Mead,Pool Elevation,ft,2010/10/31,1082.36,Historical
Mead,Pool Elevation,ft,2010/11/30,1081.94,Historical
Mead,Pool Elevation,ft,2010/12/31,1086.3,Historical
Mead,Pool Elevation,ft,2011/1/31,1091.73,Historical
Mead,Pool Elevation,ft,2011/2/28,1095.78,Historical
Mead,Pool Elevation,ft,2011/3/31,1096.39,Historical
Mead,Pool Elevation,ft,2011/4/30,1095.76,Historical
Mead,Pool Elevation,ft,2011/5/31,1097.9,Historical
Mead,Pool Elevation,ft,2011/6/30,1102.38,Historical
Mead,Pool Elevation,ft,2011/7/31,1107.07,Historical
Mead,Pool Elevation,ft,2011/8/31,1113.45,Historical
Mead,Pool Elevation,ft,2011/9/30,1116.04,Historical
Mead,Pool Elevation,ft,2011/10/31,1121,Historical
Mead,Pool Elevation,ft,2011/11/30,1125.82,Historical
Mead,Pool Elevation,ft,2011/12/31,1132.83,Historical
Mead,Pool Elevation,ft,2012/1/31,1134.18,Historical
Mead,Pool Elevation,ft,2012/2/29,1133.06,Historical
Mead,Pool Elevation,ft,2012/3/31,1129.41,Historical
Mead,Pool Elevation,ft,2012/4/30,1123.93,Historical
Mead,Pool Elevation,ft,2012/5/31,1119.38,Historical
Mead,Pool Elevation,ft,2012/6/30,1115.84,Historical
Mead,Pool Elevation,ft,2012/7/31,1115.92,Historical
Mead,Pool Elevation,ft,2012/8/31,1116.56,Historical
Mead,Pool Elevation,ft,2012/9/30,1115.16,Historical
Mead,Pool Elevation,ft,2012/10/31,1116.5,Historical
Mead,Pool Elevation,ft,2012/11/30,1117.24,Historical
Mead,Pool Elevation,ft,2012/12/31,1120.36,Historical
Mead,Pool Elevation,ft,2013/1/31,1122.32,Historical
Mead,Pool Elevation,ft,2013/2/28,1122.14,Historical
Mead,Pool Elevation,ft,2013/3/31,1118.59,Historical
Mead,Pool Elevation,ft,2013/4/30,1112.91,Historical
Mead,Pool Elevation,ft,2013/5/31,1108.36,Historical
Mead,Pool Elevation,ft,2013/6/30,1105.98,Historical
Mead,Pool Elevation,ft,2013/7/31,1105.92,Historical
Mead,Pool Elevation,ft,2013/8/31,1106.13,Historical
Mead,Pool Elevation,ft,2013/9/30,1106.92,Historical
Mead,Pool Elevation,ft,2013/10/31,1104.04,Historical
Mead,Pool Elevation,ft,2013/11/30,1106.36,Historical
Mead,Pool Elevation,ft,2013/12/31,1106.73,Historical
Mead,Pool Elevation,ft,2014/1/31,1108.75,Historical
Mead,Pool Elevation,ft,2014/2/28,1107.94,Historical
Mead,Pool Elevation,ft,2014/3/31,1101.71,Historical
Mead,Pool Elevation,ft,2014/4/30,1094.55,Historical
Mead,Pool Elevation,ft,2014/5/31,1087.46,Historical
Mead,Pool Elevation,ft,2014/6/30,1082.66,Historical
Mead,Pool Elevation,ft,2014/7/31,1080.6,Historical
Mead,Pool Elevation,ft,2014/8/31,1081.55,Historical
Mead,Pool Elevation,ft,2014/9/30,1081.33,Historical
Mead,Pool Elevation,ft,2014/10/31,1082.79,Historical
Mead,Pool Elevation,ft,2014/11/30,1083.57,Historical
Mead,Pool Elevation,ft,2014/12/31,1087.79,Historical
Mead,Pool Elevation,ft,2015/1/31,1088.51,Historical
Mead,Pool Elevation,ft,2015/2/28,1088.98,Historical
Mead,Pool Elevation,ft,2015/3/31,1084.87,Historical
Mead,Pool Elevation,ft,2015/4/30,1079.03,Historical
Mead,Pool Elevation,ft,2015/5/31,1076.57,Historical
Mead,Pool Elevation,ft,2015/6/30,1075.08,Historical
Mead,Pool Elevation,ft,2015/7/31,1078.15,Historical
Mead,Pool Elevation,ft,2015/8/31,1078.31,Historical
Mead,Pool Elevation,ft,2015/9/30,1078.1,Historical
